country,indicator,better_higher_lower,2000,2005,2010,2015,2019,2020,2021
Argentina,Access to electricity (% of population),higher,95.78328705,96.86384583,98.81999969,99.6253891,100,100,
Australia,Access to electricity (% of population),higher,100,100,100,100,100,100,
Austria,Access to electricity (% of population),higher,100,100,100,100,100,100,
Belgium,Access to electricity (% of population),higher,100,100,100,100,100,100,
Brazil,Access to electricity (% of population),higher,94.391716,97.09351349,98.59999847,99.71089935,99.80000305,100,
Bulgaria,Access to electricity (% of population),higher,100,100,100,100,100,99.69999695,
Canada,Access to electricity (% of population),higher,100,100,100,100,100,100,
Chile,Access to electricity (% of population),higher,97.93869019,97.76531219,99.53839111,99.71484375,100,100,
Costa Rica,Access to electricity (% of population),higher,96.94000244,99.05305481,98.99573517,99.4098053,99.70999908,99.90000153,
Croatia,Access to electricity (% of population),higher,100,100,100,100,100,100,
Czechia,Access to electricity (% of population),higher,100,100,100,100,100,100,
Denmark,Access to electricity (% of population),higher,100,100,100,100,100,100,
Estonia,Access to electricity (% of population),higher,100,100,100,100,100,100,
Finland,Access to electricity (% of population),higher,100,100,100,100,100,100,
France,Access to electricity (% of population),higher,100,100,100,100,100,100,
Germany,Access to electricity (% of population),higher,100,100,100,100,100,100,
Greece,Access to electricity (% of population),higher,100,100,100,100,100,100,
Hungary,Access to electricity (% of population),higher,100,100,100,100,100,100,
Indonesia,Access to electricity (% of population),higher,86.30000305,85.03832245,94.15000153,97.53736877,98.84999847,96.94999695,
Ireland,Access to electricity (% of population),higher,100,100,100,100,100,100,
Israel,Access to electricity (% of population),higher,100,100,100,100,100,100,
Italy,Access to electricity (% of population),higher,100,100,100,100,100,100,
Japan,Access to electricity (% of population),higher,100,100,100,100,100,100,
"Korea, Rep.",Access to electricity (% of population),higher,100,100,100,100,100,100,
Lithuania,Access to electricity (% of population),higher,100,100,100,100,100,100,
Netherlands,Access to electricity (% of population),higher,100,100,100,100,100,100,
New Zealand,Access to electricity (% of population),higher,100,100,100,100,100,100,
Norway,Access to electricity (% of population),higher,100,100,100,100,100,100,
Panama,Access to electricity (% of population),higher,81.40141296,84.41291046,86.84999847,92.29476929,95.81632996,96.70463562,
Peru,Access to electricity (% of population),higher,72.49649811,77.17364502,88.12306213,93.85218048,95.55136108,99.31181335,
Poland,Access to electricity (% of population),higher,100,100,100,100,100,100,
Portugal,Access to electricity (% of population),higher,100,100,100,100,100,100,
Romania,Access to electricity (% of population),higher,100,100,100,100,100,100,
Slovenia,Access to electricity (% of population),higher,100,100,100,100,100,100,
Spain,Access to electricity (% of population),higher,100,100,100,100,100,100,
Sweden,Access to electricity (% of population),higher,100,100,100,100,100,100,
Switzerland,Access to electricity (% of population),higher,100,100,100,100,100,100,
